	void	main	(	)	{	}	int	return	;	array	[	]	float	bool	long	string	if	then	else	for	,	scanf	printf	='	l	nb	real	id	= ='	<	>	+	-	*	/	++	--	"%	"	&	d	f	c	s	$	S	P	D	T	I	A	E	F
65	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	85	err
66	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	86	err
67	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	87	err
68	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	88	err
69	err	err	err	r25	err	r25	err	err	r25	r25	err	r25	err	err	err	err	err	err	err	err	r25	err	err	r25	err	err	err	err	r25	r25	 r25	r25	r25	r25	r25	 r25	r25	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
70	err	err	err	r26	err	r26	err	err	r26	r26	err	r26	err	err	err	err	err	err	err	err	r26	err	err	r26	err	err	err	err	r26	r26	 r26	 r26	 r26	 r26	 r26	 r26	 r26	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
71	err	err	err	r27	err	r27	err	err	r27	r27	err	r27	err	err	err	err	err	err	err	err	r27	err	err	r27	err	err	err	err	r27	r27	r27	r27	r27	r27	r27	r27	r27	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
72	err	err	err	r28	err	r28	err	err	r28	r28	err	r28	err	err	err	err	err	err	err	err	r28	err	err	r28	err	err	err	err	r28	r28	r28	r28	r28	r28	r28	r28	r28	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
73	err	err	err	r29	err	r29	err	err	r29	r29	err	r29	err	err	err	err	err	err	err	err	r29	err	err	r29	err	err	err	err	r29	r29	r29	r29	r29	r29	 r29	 r29	r29	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
74	err	err	err	r30	err	r30	err	err	r30	r30	err	r30	err	err	err	err	err	err	err	err	r30	err	err	r30	err	err	err	err	r30	r30	r30	r30	r30	r30	r30	r30	r30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
75	err	err	err	r31	err	r31	err	err	r31	r31	err	r31	err	err	err	err	err	err	err	err	r31	err	err	r31	err	err	err	err	r31	r31	r31	r31	r31	r31	r31	r31	r31	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
76	err	err	err	r32	err	r32	err	err	r32	r32	err	r32	err	err	err	err	err	err	err	err	r32	err	err	r32	err	err	err	err	r32	r32	r32	r32	r32	r32	r32	r32	r32	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
77	err	err	err	r33	err	r33	err	err	r33	r33	err	r33	err	err	err	err	err	err	err	err	r33	err	err	r33	err	err	err	err	r33	r33	r33	r33	r33	r33	r33	r33	r33	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
78	err	err	err	err	err	err	err	err	s48	err	err	s89	err	err	err	err	err	err	err	err	s49	err	err	err	err	err	err	err	s41	s42	s43	s44	s45	s46	s47	s50	s51	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
79	err	err	err	r36	err	r36	err	err	r36	r36	err	r36	err	err	err	err	err	err	err	err	r36	err	err	r36	err	err	err	err	r36	r36	r36	r36	r36	r36	r36	r36	r36	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
80	err	err	err	r38	err	r38	err	err	r38	r38	err	r38	err	err	err	err	err	err	err	err	r38	err	err	r38	err	err	err	err	r38	r38	r38	r38	r38	r38	r38	r38	r38	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
81	err	err	s30	err	err	s90	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	76	err
82	err	err	err	err	err	r12	err	err	r12	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
83	err	err	err	s92	err	err	err	err	s48	err	err	err	err	err	err	err	err	err	err	err	s49	err	err	err	err	err	err	err	s41	s42	s43	s44	s45	s46	s47	s50	s51	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
84	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s93	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
85	err	err	err	s94	err	err	err	err	s48	err	err	err	err	err	err	err	err	err	err	err	s49	err	err	err	err	err	err	err	s41	s42	s43	s44	s45	s46	s47	s50	s51	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
86	err	err	err	s95	err	err	err	err	s48	err	err	err	err	err	err	err	err	err	err	err	s49	err	err	err	err	err	err	err	s41	s42	s43	s44	s45	s46	s47	s50	s51	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
87	err	err	err	err	err	r19	err	err	r19	err	err	err	err	err	err	err	err	err	err	err	r19	err	err	err	err	err	err	err	s41	s42	s43	s44	s45	s46	s47	s50	s51	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
88	err	err	err	err	err	err	err	err	s48	err	err	s96	err	err	err	err	err	err	err	err	s49	err	err	err	err	err	err	err	s41	s42	s43	s44	s45	s46	s47	s50	s51	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
89	err	err	err	r24	err	r24	err	err	r24	r24	err	r24	err	err	err	err	err	err	err	err	r24	err	err	r24	err	err	err	err	r24	r24	r24	r24	r24	r24	r24	r24	r24	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
90	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r2	err	err	err	err	err	err	err	err
91	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	s35	err	err	s36	err	s37	s38	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	82	34	39	err
92	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s97	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
93	err	err	s30	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s24	s25	s26	s27	err	err	err	err	err	err	err	err	err	s28	err	s29	err	err	err	err	err	err	err	err	err	err	err	98	err
94	err	err	err	err	err	r17	err	err	r17	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
95	err	err	err	err	err	r18	err	err	r18	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
96	err	err	err	err	err	err	err	err	r6	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
97	err	err	err	err	s99	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
98	err	err	err	s100	err	err	err	err	s48	err	err	err	err	err	err	err	err	err	err	err	s49	err	err	err	err	err	err	err	s41	s42	s43	s44	s45	s46	s47	s50	s51	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
